Session,Date,StartTime,Session.Length,Participant.Sex,Participant.Age,ExpSex,Erotic.Hits.PC,Control.Hits.PC,Stimulus.Seeking
71,11/7/2006,2:04PM,8.292222,Female,18,Male,66.6666666666666,55.5555555555555,3.5
72,11/7/2006,2:36PM,9.933333,Female,18,Male,72.2222222222222,33.3333333333333,3
73,11/8/2006,11:35AM,8.95,Male,20,Female,66.6666666666666,38.8888888888888,3
74,11/8/2006,12:06PM,10.31861,Male,24,Female,33.3333333333333,44.4444444444444,3
75,11/8/2006,12:37PM,9.183333,Male,18,Male,50,38.8888888888888,2.5
76,11/8/2006,1:37PM,14.77111,Female,18,Male,66.6666666666666,61.1111111111111,4
77,11/8/2006,2:05PM,8.505,Female,21,Female,55.5555555555555,38.8888888888888,2.5
78,11/8/2006,3:06PM,8.176389,Male,20,Female,44.4444444444444,50,2.5
79,11/8/2006,4:02PM,8.120277,Female,18,Female,44.4444444444444,55.5555555555555,4.5
80,11/9/2006,10:07AM,8.418889,Female,19,Female,44.4444444444444,55.5555555555555,2.5
81,11/9/2006,11:36AM,9.926389,Female,18,Female,61.1111111111111,44.4444444444444,1.5
82,11/9/2006,12:04PM,10.06139,Female,19,Female,44.4444444444444,55.5555555555555,2
83,11/9/2006,12:36PM,8.053889,Female,22,Female,33.3333333333333,38.8888888888888,2.5
84,11/9/2006,1:04PM,10.44972,Female,21,Female,61.1111111111111,55.5555555555555,3
85,11/9/2006,1:19PM,9.344444,Male,21,Female,44.4444444444444,61.1111111111111,1
86,11/10/2006,10:07AM,8.530556,Female,20,Female,55.5555555555555,61.1111111111111,3
87,11/10/2006,10:34AM,9.047778,Female,19,Female,61.1111111111111,38.8888888888888,2.5
88,11/10/2006,11:04AM,8.778889,Female,18,Female,44.4444444444444,33.3333333333333,3
89,11/11/2006,10:06AM,9.335556,Male,20,Female,44.4444444444444,38.8888888888888,2.5
90,11/11/2006,10:35AM,9.3075,Male,18,Female,27.7777777777777,72.2222222222222,2
91,11/11/2006,11:10AM,8.769167,Female,18,Female,44.4444444444444,44.4444444444444,2
92,11/11/2006,11:36AM,8.1425,Female,19,Female,55.5555555555555,44.4444444444444,3.5
93,11/11/2006,12:06PM,8.755834,Female,18,Female,77.7777777777777,66.6666666666666,4
94,11/11/2006,12:35PM,9.061666,Male,25,Female,44.4444444444444,33.3333333333333,3.5
95,11/13/2006,11:10AM,9.366944,Male,20,Female,55.5555555555555,44.4444444444444,2.5
96,11/14/2006,11:08AM,10.15194,Male,19,Female,55.5555555555555,61.1111111111111,2.5
97,11/14/2006,2:04PM,9.418333,Male,21,Female,27.7777777777777,83.3333333333333,2.5
98,11/14/2006,3:06PM,9.011111,Male,18,Female,66.6666666666666,44.4444444444444,1.5
99,11/15/2006,3:04PM,8.801666,Male,18,Female,66.6666666666666,27.7777777777777,3
100,11/16/2006,12:41PM,8.308333,Male,19,Female,38.8888888888888,44.4444444444444,2.5
